l,D_l_LCDM,D_l_LPEG,delta_D_l,modulation_function,relative_change
112,239376.76402082643,241274.27897717615,1897.5149563497107,1.0079268970157214,0.7926897015721299
113,234174.89153088347,232877.2088892436,-1297.682641639869,0.9944584894086789,-0.5541510591321136
114,229134.56891297584,229791.63082556002,657.0619125841768,1.0028675808966814,0.28675808966813976
115,224246.63715037852,224217.69117889463,-28.94597148388857,0.9998709190387347,-0.012908096126533023
116,219507.99652059327,218965.8081752272,-542.1883453660703,0.9975299836272015,-0.24700163727985397
117,214910.99396145562,215933.6866388291,1022.692677373474,1.0047586801332131,0.47586801332131684
118,210451.76443236673,209061.29058252333,-1390.4738498434017,0.9933929095173243,-0.6607090482675715
119,206125.82244765782,207760.48421778882,1634.6617701310024,1.0079304075089675,0.7930407508967476
120,201927.5260107959,200173.06720803157,-1754.458802764333,0.9913114430834431,-0.8688556916556945
121,197849.3928686746,199606.84447148355,1757.4516028089565,1.008882774808288,0.8882774808288092
122,193890.71037946487,192232.99019594007,-1657.720183524798,0.9914502341020853,-0.8549765897914665
123,190047.45568577657,191521.14931978713,1473.6936340105603,1.0077543455064568,0.7754345506456858
124,186311.79908760422,185085.6109382716,-1226.1881493326218,0.9934186232147538,-0.658137678524625
125,182682.8177846386,183619.56109688853,936.7433122499206,1.0051277034348913,0.5127703434891342
126,179158.19595159116,178532.10320628862,-626.0927453025361,0.9965053636425781,-0.34946363574218364
127,175728.99654818134,176042.04001387753,313.0434656961879,1.0017813990396875,0.1781399039687555
128,172397.17286397365,172383.41795740696,-13.754906566697173,0.9999202138507367,-0.007978614926330719
129,169155.79970469337,168897.01736177644,-258.7823429169366,0.9984701538855381,-0.1529846114461995
130,166004.51270445707,166499.41429391998,494.90158946291194,1.0029812538309968,0.2981253830996754
131,162939.76102099047,162251.54768548082,-688.2133355096448,0.995776271358217,-0.4223728641783062
132,159955.28286622715,160790.63644498013,835.3535787529836,1.0052224194398856,0.5222419439885593
133,157053.16864652003,156117.48658708396,-935.6820594360761,0.9940422592711771,-0.5957740728822977
